,STREET_NAME,TOSTREET,FROMSTREET
245,CARLTON AV,2,15
246,CARROLL ST,26,1
247,CASTLE HILL AV,4,7
248,CATALPA AVE,6,1
249,CATHERINE ST,16,15
250,CATON AV,4,36
251,CENTER DR,2,8
252,CENTRAL AV,7,18
253,CENTRAL PARK N,85,29
254,CENTRAL PARK S,2,1
255,CENTRAL PARK W,22,3
256,CENTRAL RD,1,28
257,CENTRE ST,1,27
258,CHAMBERS ST,2,10
259,CHATHAM SQ,3,3
260,CHERRY ST,9,3
261,CHISHOLM ST,13,26
262,CHRYSTIE ST,29,87
263,CHURCH AV,76,35
264,CINCINNATUS AV,8,1
265,CITY ISLAND AV,10,14
266,CLASSON AV,14,16
267,CLAY AV,7,2
268,CLAYTON RD,9,13
269,CLEARVIEW EXWY SR E,4,2
270,CLEARVIEW EXWY SR W,1,2
271,CLINTON AV,5,2
272,CLINTON ST,26,4
273,CLOVERDALE BL,3,3
274,CLOVERDALE BLVD,4,11
275,CLYMER ST,33,1
276,COLLEGE PT BLVD,11,4
277,COLONIAL RD,6,1
278,COLUMBIA ST,16,4
279,COLUMBIA ST ESPLANADE,8,7
280,COLUMBUS AV,6,1
281,COLUMBUS CIR,1,9
282,COMFORT RD,2,1
283,CONCRETE PLANT PARK GREENWAY,5,9
284,CONEY ISLAND AV,1,7
285,CONOVER STREET,1,24
286,COOK ST,1,5
287,COOPER AV,28,19
288,COOPER AVE,4,16
289,CORNELL AV,7,1
290,CORONA AV,1,1
291,CORSON AV,5,1
292,COSTCO GREENWAY,1,1
293,COURTLANDT AV,1,31
294,COURT ST,10,2
295,COZINE AV,6,3
296,C P E 72 APPR,1,1
297,C P W 72 APPR,1,3
298,CPW W72 APPROACH,2,44
299,CPW W 72 St APPROACH,3,6
300,CRAIG RD N,6,1
301,CRAIG RD S,9,1
302,CRESCENT ST,5,24
303,CROPSEY AV,4,21
304,CROSS BAY BLVD,13,31
305,CROSS BAY BLVD GREENWAY,6,10
306,CROSS BAY BR,1,74
307,CROSS BX SERVICE RD S,2,2
308,CROSS ISL PKWY NB EN NORTHERN BL,7,35
309,CROSS IS PKWY,2,2
310,CROTONA PARK N,1,2
311,CROTONA PARK S,26,1
312,CROTONA PK N,3,6
313,CUNNINGHAM PARK GREENWAY,2,3
314,CYPRESS AV,7,1
315,CYPRESS HILLS ST,1,1
316,DAHILL RD,5,21
317,DEAD END,1,11
318,DEAN ST,5,2
319,DECATUR AV,1,56
320,DECATUR ST,23,2
321,DEGRAW ST,1,12
322,DE KALB AV,4,2
323,DELANCEY ST,8,4
324,DICKENS ST,16,3
325,DIKEMAN ST,3,6
326,DITMAS AV,24,4
327,DIVISION AV,169,1
328,DIVISION ST,14,1
329,DIV RD,6,2
330,DOCK ST,1,38
331,DOUGLASS ST,3,25
332,DR KAZIMIROFF BLVD,1,2
333,DR M L KING JR BLVD,24,1
334,DRUMGOOLE RD E,1,6
335,DRUMGOOLE RD W,15,3
336,DRURY AV,5,37
337,DYCKMAN ST,23,8
338,DYKER PL,1,12
339,E 102 ST,2,5
340,E 104 ST,21,4
341,E 10 ST,3,25
342,E 119 ST,1,1
343,E 120 ST,4,2
344,E 124 ST,28,2
345,E 125 ST,4,1
346,E 12 ST,3,2
347,E 132 ST,13,6
348,E 135 ST,51,57
349,E 138 ST,37,2
350,E 139 ST,7,13
351,E 13 ST,9,5
352,E 145 ST,8,2
353,E 148 ST,13,50
354,E 14 ST,24,21
355,E 150 ST,6,1
356,E 152 ST,2,14
357,E 158 ST,2,1
358,E 161 ST,2,5
359,E 165 ST,16,28
360,E 167 ST,21,2
361,E 168 ST,1,15
362,E 169 ST,2,11
363,E 173 ST,12,3
364,E 174 ST,25,277
365,E 175 ST,2,37
366,E 176 ST,6,12
367,E 177 ST,3,1
368,E 17 ST,4,38
369,E 188 ST,35,2
370,E 18 ST,11,34
371,E 1 ST,2,16
372,E 229 ST,9,14
373,E 231 ST,25,9
374,E 233 ST,40,1
375,E 23 ST,15,1
376,E 28 ST,6,44
377,E 2 ST,13,4
378,E 32 ST,8,10
379,E 34 ST,40,49
380,E 37 ST,3,15
381,E 41 ST,10,32
382,E 42 ST,1,3
383,E 46 ST,7,4
384,E 49 ST,9,37
385,E 4 ST,4,3
386,E 56 ST,8,14
387,E 58 ST,29,1
388,E 59 ST,5,7
389,E 5 ST,5,9
390,E 60 ST,24,8
391,E 61 ST,12,9
392,E 63 ST,4,5
393,E 7 ST,6,35
394,E 8 ST,16,13
395,E 91 ST,1,5
396,E 96 ST,26,1
397,E 9 ST,2,2
398,EAGLE ST,12,1
399,EAST DR,47,38
400,EASTERN PKWY,22,18
401,EAST RIVER,2,1
402,EAST RIVER ESPL,2,5
403,EAST RIVER ESPLANADE,22,2
404,E BROADWAY,18,1
405,EDGECOMBE AV,1,27
406,EDGEWATER RD,21,3
407,EDGEWATER ST,7,21
408,EDSALL AV,1,11
409,EDSON AV,5,15
410,EDWARD L GRANT HWY,2,4
411,EDWARDS AV,1,24
412,E FORDHAM RD,14,1
413,E GUN HILL RD,1,24
414,E HOUSTON ST,41,27
415,E LAKE DR,10,4
416,ELDRIDGE ST,12,13
417,ELLERY ST,2,9
418,EMERSON AV,6,1
419,EMMONS AV,1,1
420,E MOSHOLU PKWY N,4,1
421,E MOSHULU PARKWAY SOUTH,3,10
422,End,2,26
423,E NEW YORK AV,16,4
424,ERSKINE ST,17,3
425,E side of 114 ST,1,1
426,ESSEX ST,16,31
427,EVANS RD,9,3
428,EVERGREEN,1,1
429,EXTERIOR ST,2,1
430,FDR BDWK,1,1
431,F D R DR,13,110
432,FDR DR,6,1
433,FDR DR GREENWAY,28,3
434,FDR GREENWAY,7,1
435,FEATHERBED LA,1,1
