,STREET_NAME,TOSTREET,FROMSTREET
923,W 46 ST,12,7
924,W 56 ST,13,18
925,W 57 ST,1,33
926,W 58 ST,1,2
927,W 62 ST,2,2
928,W 65 ST,4,6
929,W 69 ST,8,2
930,W 77 ST,19,8
931,W 78 ST,1,6
932,W 79 ST,1,1
933,W 79 ST ROTUNDA,5,1
934,W 96 ST,10,1
935,W 9 ST,14,9
936,WAKEMAN PL,34,6
937,WALDO WALK,1,8
938,WALKER ST,2,22
939,WALLABOUT ST,14,38
940,WALNUT AV,1,25
941,WALTON AV,3,40
942,WARDS ISLAND GREENWAY,5,2
943,WARREN ST,1,19
944,WASHINGTON AV,5,1
945,WASHINGTON PARK,11,3
946,WASHINGTON SQ E,2,24
947,WASHINGTON SQ N,20,1
948,WASHINGTON SQ S,2,14
949,WASHINGTON SQ W,1,5
950,WATERBURY AV,1,1
951,WATERSIDE PLAZA ENTRANCE,2,18
952,WATERS PL,2,12
953,WATTS ST,1,20
954,WAVERLY PL,3,5
955,W BROADWAY,5,13
956,WEBSTER AV,3,15
957,WENNER PL,10,2
958,WEST ALLEY RD,5,1
959,WESTCHESTER AV,21,4
960,WEST DR,32,6
961,WESTERVELT AV,2,15
962,WEST ST,47,9
963,WEST ST/11 AV,3,1
964,W FORDHAM RD,10,28
965,WHITEHALL ST,5,3
966,WHITE PLAINS RD,2,
967,WILLIAMSBURG BR APPR,2,
968,WILLIAMSBURG ST W,17,
969,WILLIS AV,2,
970,WILLOUGHBY AV,13,
971,WILSON TER,3,
972,WINCHESTER BLVD,4,
973,WINDSOR PL,5,
974,W LAKE DR,24,
975,W MOSHOLU PKWY N,2,
976,W MOSHOLU PKWY S,7,
977,WOODHAVEN BLVD,36,
978,WOODWARD AVE,3,
979,WORTH ST,4,
980,WORTMAN AVE,10,
981,W TREMONT AV,46,
982,WYCKOFF ST,17,
983,WYTHE AV,2,
984,YORK AV,6,
985,YORK ST,1,
986,ZEREGA AV,3,
